Titre,Type,Statut,Rubrique,Résumé,Date affichée,Date de début,Date de fin,Lieu,Slug,Auteur,Édition,Lien externe,Ordre manuel,Highlights,Featured,Contenu texte
Cadre noir,coup_de_coeur,Publié,Coup de cœur littéraire,"Un deuxième coup de cœur de Médi'Annet, entre récit familial, enquête intime et plongée dans l'histoire du Cadre noir de Saumur.",Cette semaine,,,,cadre-noir-alix-de-saint-andre,Alix de Saint-André,Gallimard,https://www.casadellibro.com/libro-cadre-noir/9782073009470/17921140,1,,false,"Alix de Saint-André se penche sur le passé de son père adoré, grand écuyer du Cadre noir de Saumur. Cet homme à la forte personnalité, qui faisait vivre sa famille dans la fantaisie, l'humour et la bonne humeur, sombre dans la dépression après son renvoi brutal en 1972 et décède en 1998.

Vingt-cinq ans plus tard, à la mort de la reine d'Angleterre devant qui le colonel de Saint-André avait donné plusieurs exhibitions, l'autrice se lance dans une enquête. L'ouvrage laisse peu à peu place à des pages rigoureuses et techniques sur le fonctionnement du Cadre noir, son histoire et ses codes, tout en revenant sur le contexte politique des années 1968 à 1981.

Un récit dense, personnel et documenté, qui éclaire autant une figure paternelle qu'un monde équestre méconnu."
Brocante de printemps au centre-ville,evenement,Publié,Événements,"Plus de 200 exposants, une buvette, des animations enfants et une journée complète pour faire revenir les habitants en cœur de village.",Dimanche 24 mai 2026,2026-05-24T08:00:00+02:00,2026-05-24T20:00:00+02:00,"Centre-ville, Annet-sur-Marne",brocante-printemps-centre-ville,,,,2,,true,"Le comité des fêtes d'Annet-sur-Marne organise sa grande brocante de printemps au centre-ville. Plus de 200 exposants sont attendus. Une buvette et plusieurs animations familiales accompagneront la journée. L'objectif est de recréer un rendez-vous populaire, accessible et convivial, visible à l'échelle de tout le village."
La cantine de la semaine,cantine,Publié,Scolaire,"Repères clairs pour les familles : plats du jour, mentions bio, produits labellisés et information spéciale du mercredi.",Cette semaine,2026-04-06,2026-04-10,,cantine-scolaire-semaine,,,,3,,false,
Nouvelle permanence numérique parents-élèves,info,Publié,Scolaire,"Une aide hebdomadaire pour les démarches liées au portail famille, aux inscriptions et à la restauration scolaire.",Dès le 3 juin,,,Espace familles - mairie annexe,permanence-numerique-parents,,,,4,,false,"À partir du 3 juin, une permanence numérique sera proposée chaque mercredi après-midi à l'espace familles. Les agents accompagneront les parents pour les réservations cantine, les mises à jour de dossiers et les questions liées au portail famille."
Travaux rue de la Marne,alerte,Publié,Travaux et mobilité,Circulation alternée en raison de travaux d'enfouissement des réseaux.,Jusqu'au 15 avril,,,Rue de la Marne,travaux-rue-de-la-marne,,,,5,,false,Des travaux d'enfouissement des réseaux auront lieu rue de la Marne. La circulation se fera sur une seule voie avec des feux alternés. Le stationnement sera interdit sur la zone concernée de 8h à 17h. Merci de votre prudence et de votre compréhension.
Forum des associations : appel aux bénévoles,evenement,Publié,Vie associative,"Les associations du village préparent la rentrée et cherchent des bénévoles, des encadrants et de nouveaux adhérents.",Samedi 14 septembre,,,Gymnase municipal,forum-associations-benevoles,,,,6,,false,"Le forum des associations réunira les clubs sportifs, les acteurs culturels et les collectifs solidaires de la commune. Une attention particulière sera portée aux missions bénévoles accessibles dès la rentrée."
Qui se ressemble,coup_de_coeur,Publié,Coup de cœur littéraire,"Le coup de cœur de la semaine de Médi'Annet : un récit sensible entre mémoire familiale, exil, langue et transmission.",Cette semaine,,,,qui-se-ressemble-agnes-desarthe,Agnès Desarthe,La Résonnante,https://www.google.com/search?q=Livre+Qui+se+ressemble+Agn%C3%A8s+Desarthe,7,,false,"Après avoir exploré ses origines familiales du côté de sa mère dans « Château des rentiers », Agnès Desarthe s'intéresse maintenant à la branche paternelle.

Sa grand-mère, juive illettrée originaire de Libye s'est installée à Orléansville en Algérie dans les années 20. Elle épouse sans amour un homme violent qui disparaît après la naissance de son dixième enfant et elle élève seule sa progéniture.

Le petit dernier, père d'Agnès, vient faire ses études de médecine en France et s'installe en France.

Agnès a 7 ans quand, un jour de shabbat en octobre elle apprend le déclenchement du conflit d'Israel contre la Palestine. C'est la guerre des Juifs contre les Arabes, mais comment comprendre pour un enfant qui est à la fois Juive et Arabe ?

Un récit sensible, accompagné en filigrane par les chansons égyptiennes de l'immense Oum Kalsoum qui avait l'âge de cette grand-mère adorée à la forte personnalité."
Balade patrimoniale du dimanche matin,info,Publié,Vie locale,"Une promenade guidée pour redécouvrir l'histoire du village, ses rues, ses paysages et ses anecdotes locales.",Tous les premiers dimanches du mois,,,Départ place de l'église,balade-patrimoniale-dimanche,,,,8,,false,"La commune relance une balade patrimoniale mensuelle ouverte à tous. Le parcours mettra à l'honneur les rues anciennes, les paysages bordant la Marne et plusieurs repères historiques racontés en format court."
Forum des métiers à Villevaudé,evenement,Publié,Vie locale,"Une première édition locale portée par Loisirs Jeunes et la mairie de Villevaudé pour faire découvrir des métiers aux collégiens, lycéens et étudiants.",Samedi 11 avril 2026,2026-04-11T14:00:00+02:00,2026-04-11T18:00:00+02:00,"Maison des Associations, chemin des Merisiers, 77410 Villevaudé",forum-metiers-villevaude-11-avril-2026,,,,9,"Samedi 11 avril 2026, de 14h à 18h, à la Maison des Associations de Villevaudé.; Destiné aux collégiens, lycéens et étudiants autour de l'orientation et de la découverte des métiers.; Appel lancé aux parents et professionnels souhaitant partager leur métier pendant l'après-midi.",false,"Nous organisons un forum des métiers à Villevaudé le samedi 11 avril.

L'association Loisirs Jeunes, en partenariat avec la mairie de Villevaudé, propose une première édition du Forum des métiers à la Maison des Associations. L'événement invite les jeunes à échanger avec des parents et des professionnels autour de leurs parcours et de leur quotidien.

Le rendez-vous est annoncé de 14h à 18h au chemin des Merisiers, 77410 Villevaudé. Il s'adresse aux collégiens, lycéens et étudiants.

Parmi les intervenants annoncés : secteur bancaire (CIC), CAPFUN - Camping de Paris, Point Information Jeunesse (Paris Marne-la-Vallée), entreprise de plomberie, ostéopathe, fonctionnaire de police nationale, métiers de la fonction publique, kinésithérapeute du sport, finance, manipulatrice en radiologie, infirmière puéricultrice, éducatrice spécialisée, éducatrice EAJE, psychologue, professeure des écoles et entreprise de ferronnerie avec démonstration sur place.

Un appel est également lancé aux parents et professionnels qui souhaitent venir partager leur métier pendant quelques heures. Le contact mis en avant sur l'affiche de mobilisation est le 07 61 40 33 20, ainsi que les adresses loisirsjeunes77@laposte.net et jeunesse@villevaude.fr."
Instant Gourmand revient place de l'Église,info,Publié,Vie locale,"Un rendez-vous de quartier de 15h à 18h autour du goûter, avec boissons fraîches, café, cookies, brownies et crumble.","Les lundis 9, 16, 23 et 30 mars, 13 avril, 4, 11, 18 mai, puis 1, 8, 15, 22 et 29 juin",,,"Place de l'Église, Annet-sur-Marne",instant-gourmand-place-eglise,,,,10,"Goûter convivial de 15h à 18h place de l'Église.; Boissons et douceurs annoncées : café, limonade, thé glacé, cookies, brownies et crumble.; Compte Instagram indiqué sur l'affiche : sharewithotes.",false,"ShareWith.otes propose un Instant Gourmand place de l'Église à Annet-sur-Marne. Le rendez-vous est annoncé de 15h à 18h les lundis 9, 16, 23 et 30 mars, le 13 avril, les 4, 11 et 18 mai, puis les 1, 8, 15, 22 et 29 juin. Le rendez-vous met en avant une pause gourmande de quartier avec café, limonade, thé glacé, cookies, brownies et crumble."
